,text,id,user name,screen name,description
1,RT @bentface: BECAUSE PURSUIT IS TOO MUCH. DEBRA. MARISKA. THE HUG. THE BACKSIDE COMMENT. THE HUG. SONYA. THE HUG. NOOOOPPEEE. #SVUrewatch,750465285291847680,Atlantis,Meloni_Hargitay,Sam. A southern girl with a big mouth! No Filter! 1.0 SVU Fan! #ChriskaIsLife #Benslerfan Followed by: Mariska 1/14/14 Meloni 3/26/14 #DollyPartonfan
2,RT @pmarca: Suppose you WERE living in a simulation. What's the #1 thing you'd want to make sure the entity running the simulation never di…,750465285161836544,LvdyKay,KTBGZ,SVP || Kelly@omgdigitalgroup.com http://Www.Theblueprintstyle.com http://Www.omgdigitalgroup.com http://Www.sommovita.com
3,"RT @SupremeDreams_1: How Lebron Reacted to Kevin Durant's Decision To Sign to the Warriors
https://t.co/9jTOErSvdu",750465284750934021,⛹,prettyjaden_,snap: prettyboyjaden #HarambeWorld
4,The other half 😀😘 https://t.co/1tI5xeFNL7,750465283861585920,Marina♡,MeenaGibb,Remember to live • Connor B
5,@BlSCUlTS Is it the one where Trunks helps you?,750465285379862528,harambe fan account,josthesuccboi,I'm a five star man!
6,"@DogtoothCG I'm surprised myself... God rays are force disabled in the ini and character lighting is off, if that makes a difference",750465285077999616,VaultOfDaedalus,VaultOfDaedalus,"Rob - Student. Aspiring 3D environment artist. Moderator of  /r/fallout, /r/falloutlore and /r/deusex.  I tweet games and history. Opinions are my own."
7,@_Quezz @BSO @Tamantha_5 bruh. Let me break it down. The only reason I'll give someone a pass for skin bleaching is if they had a skin issue,750465285220696064,The Renaissance Man,TheRealDEdge,Destined for Greatness.. B'klyn IG: therealdedge
8,"RT @DrewGH_: Can't wait to have kids so I can shout their name from anywhere in the house, have them come to me and then waste their time 😊🤗",750465285224792064,Wisdom Fraser,WisdomLDN,Wait for it
9,Aw shit this is the last reply my phone will display and it ends perfectly👌 https://t.co/H03YS2lELs,750465284083855361,Mack Zelchert,zmelchert,I change lives (imperceptibly)
10,"RT @MCNWorldAllies: To all Ka-Neyshens, July 8th will be the launch of IYAM Viber stickers!! Be ready!!! 😱😍
#ALDUBIYAMin7Days https://t.co/…",750465285535129600,dors,dorslegaspi14,None
11,"oi oi @Louis_Tomlinson
with your beautiful smile
his incredible talent you
guided me to the most
desired place: my home.
follow me?🏠 —30,590",750465285422014464,️luke,Iwtking91,happy times
12,@mgcallaghans  Garrett not looking at the camera... iconic,750465285572988929,haley,thewaywetaIk,tbh.... i am full of shit....
13,RT @omphramz: one of the coolest GirlGroup dance in Kpop history ---&gt; https://t.co/MOaDs6j4Ej,750465285841309696,bintang utara,bintangutara10,bintang cahaya malam
14,RT @omphramz: one of the coolest GirlGroup dance in Kpop history ---&gt; https://t.co/MOaDs6j4Ej,750465285975470080,ferdianmacko,ferdianmacko,"Melihat, amati, pahami, dan ber-komentar"
15,RT @thesyncarray: https://t.co/pdtTIeJ1mI DROP A LIKE ON OUR FIRST CLIP OF THE WEEK!,750465285002391552,Coach,SyncCoach_,Overall Leader of @thesyncarray | @raythenig @syncnugs @braysa_ @syncesco @syncrumor @syncoaks
16,@soophheeeea @SucksToSucks happy bday to the most inspirational person in my life ily,750465285791047680,elly kellner,EllyKellner_,None
17,"2016.07.07 @下北沢 MOSAiC
～MOSAiC　12th Anniversary～
MOSAiC presents? 『何かしらが爆発する夜 vol.6』
 
ハシグチカナデリヤ/森広隆/GAO &amp; THE SIX/ALLaNHiLLZ",750465286181052416,小田和也 関連情報bot(非公認),Odakazuya_bot,None
18,RT @TheMendesSide: These next 80 days are gonna be the longest of my life #ILLUMINATE,750465285853999105,ILLUMINATE AMY,Mypurposecam,❤️I stan way to many people to list..❤️ ❤️Irish❤️ ❤️SHAWNS WIZARDS❤️
19,RT @omphramz: one of the coolest GirlGroup dance in Kpop history ---&gt; https://t.co/MOaDs6j4Ej,750465285094641664,ari sirait,ari34442978,None
20,RT @omphramz: one of the coolest GirlGroup dance in Kpop history ---&gt; https://t.co/MOaDs6j4Ej,750465286218801152,haryani asih,haryani_asih,None
21,RT @woodyinho: Vote for me to be on the #FIFA17COVER https://t.co/SeQZ6QiJCR  Let's do it! 🎮 #FIFA17REUS #ad,750465285929394176,Juan Carlos Porres,juancarlospr555,None
22,RT @omphramz: one of the coolest GirlGroup dance in Kpop history ---&gt; https://t.co/MOaDs6j4Ej,750465286214606848,dina indah,indahnyadina,None
23,RT @omphramz: one of the coolest GirlGroup dance in Kpop history ---&gt; https://t.co/MOaDs6j4Ej,750465286197829632,fix you,fixyou687,None
24,"National Geographic details how it searches for altered photographs: 
The cover photo for National Geographic... https://t.co/rZBVvnpvGs",750465286088691712,Fred Marie,FredMariePhoto,"French Photographer with passion for Horses, black&white and square format."
25,"RT @pmarca: What's the word for when well-off people develop contempt for something they have in abundance, but less-well-off people love a…",750465285870723072,Pmarca without RTs,pmarcawithoutRT,None
26,RT @omphramz: one of the coolest GirlGroup dance in Kpop history ---&gt; https://t.co/MOaDs6j4Ej,750465286239727617,hidayat hayat,hayatanhidayat,None
27,RT @omphramz: one of the coolest GirlGroup dance in Kpop history ---&gt; https://t.co/MOaDs6j4Ej,750465286222942208,hendrik silalahi,hensilalahi,None
28,RT @omphramz: one of the coolest GirlGroup dance in Kpop history ---&gt; https://t.co/MOaDs6j4Ej,750465286206164992,harada daim,haradadaim,None
29,"RT @TrvpicalPvssy: Fuck them... Most fems don't like respect smfhh, they whine and complain and expect a stud to deal with that all day htt…",750465285816086528,WDDS AUG.1st,DancingKye,WDDS AUG 1st!!!!! | Choreographer and Entertainer | #DancingKye |bookings: dancingkyelive@gmail.com | MGMT: @Soulrichz | PV18 |
30,not sure why ppl think this is funny when all I see is a fun ass girl tryna turn up w/a pain in the ass boyfriend 🙄 https://t.co/G44bpFTfxr,750465285056974848,Chioma Chikezie,_cchikezie,carry yourself with the boldness of Beyoncé's white dancer #NYU2020 ❣
31,"RT @LiveYourNow: ""If you clean the floor with love, you have given the world an invisible painting."" ~Osho

#MindfulTrain

https://t.co/vJ1…",750465285287587841,Crystal Fish,Crystal_Fishy,"Lover of all animals, especially cats.  I have Fibro/Lupus and chronic pain.  I love music, art and cool photos.  Also, Big Brother and reality TV."
32,RT @helstonafc: Next to sign was Selby towns ben Harris the 22year old can play in midfield or defence https://t.co/gmPgbuy0lf,750465285673590784,Sid Taylor.,sidtaylor_26,Manager of Helston Fc. Postie. and a Supporter of Man U.
33,@kaylynthegreat Me too!! That intro makes me feel better 100% of the time. #savebandit,750465285501677568,Ashton Guy,ShesPennyLane,"Grapes of Wrath, chocolate chip ice cream, and Johnny Cash."
34,@TYTpatrol @cenkuygur lol the trolls are making new accounts faster than I can block them #tytlive,750465285191180288,Mugatu,Artanis71,Artanis = Sinatra baby! Slowly going insane listening to politics
