numberOfTweet,text,user name,screen name,description,gender
1,@LikeIfYoure Here you go: @ hope you like it! I made it myself.,tyler,tyler,,Female
2,"@TylerBrown21 Nope, sorry!",tyler,tyler,,female
3,"@CookingIssues You mentioned a few times some neutral spirit thats only available in NYC...I can't remember the name of it, help me out?",tyler,tyler,,Female
4,@Bkdawg9 (2 years later) where's the rope swing?,tyler,tyler,,Female
5,@cortesi Tried pex? https://t.co/QBB2XhLZLE,tyler,tyler,,Female
6,@Tylertarian no.,tyler,tyler,,Female
7,@ThankyouGoogle what's your question?,tyler,tyler,,Female
8,@twinszemattress If you look reeeeeeally close you can see they blacked out the 2nd part of the authors name. Not me! I like @edsheeran!,tyler,tyler,,Female
9,@tylerwinklevoss Brother Tyler! Loved you in that movie with Jessie Eisenberg.,tyler,tyler,,Female
10,@darrin_butler @goodlifebg @SeanDavis11_ @beau_burns @tdibble3797 More of a French vibe than I'd expected but I'm down! Grill em up!,tyler,tyler,,Female
11,@darrin_butler @goodlifebg @SeanDavis11_ @beau_burns @tdibble3797 Seriously though you guys eat frogs? That's cool.,tyler,tyler,,Female
12,@darrin_butler @goodlifebg @SeanDavis11_ @beau_burns @tdibble3797 @niallohiggins I hear Texas is nice.,tyler,tyler,,Female
13,@darrin_butler @goodlifebg @SeanDavis11_ @beau_burns @tdibble3797 @niallohiggins what have I done.,tyler,tyler,,Female
14,@SeanDavis11_ Sure looks like you do..?,tyler,tyler,,Female
15,Alright I'm done.,tyler,tyler,,Female
16,@SeanDavis11_ @darrin_butler @goodlifebg @beau_burns @tdibble3797 ..............wtf? @niallohiggins you see the kind of shit I deal with?,tyler,tyler,,Female
17,@TheJCEFirm I know! I don't know how I do it.,tyler,tyler,,Female
18,@dragonslayer284 only if I can have your REAL name.,tyler,tyler,,Female
19,@CastleCassie @O2L @joey @shane @Sawyer probably ain't gonna happen,tyler,tyler,,female
20,@lynnlynn1000 @JanetJackson ...@JanetJackson! Yea!,tyler,tyler,,female
21,@Cuker true!,tyler,tyler,,female
22,@FodenMichelle @MichaelJMapes @Buck_Lee9 Jack is in cryostasis.,tyler,tyler,,female
23,@dianaross18 honey mustard ftw,tyler,tyler,,Female
24,@_hopeinfinity_ Conga line?,tyler,tyler,,Female
25,@aff_shunkansen don't blame me for that shit!,tyler,tyler,,Female
26,"@ken_guard  @fucktyler this is my friend Ken, he wants a pony.",tyler,tyler,,Female
27,@courts184 Looks useful.,tyler,tyler,,Female
