numberOfTweet,text,user name,screen name,description,gender
1,"Gol de Piqué, gol de España! Shak https://t.co/Xg7FPCSJHK",Shakira,shakira,#LaBicicleta @CarlosVives & Shakira. iTunes: https://t.co/soIQTtdbP9  https://t.co/co5eiiz8nm,Female
2,Celebrando el gol de papa con La Roja!! https://t.co/g9rKp3OROq,Shakira,shakira,#LaBicicleta @CarlosVives & Shakira. iTunes: https://t.co/soIQTtdbP9  https://t.co/co5eiiz8nm,female
3,Try Everything from #Zootopia is up for a @TeenChoiceFOX Award! https://t.co/8T9HS06yYt ShakHQ #ChoiceMovieTVSong https://t.co/T41pyDpWLA,Shakira,shakira,#LaBicicleta @CarlosVives & Shakira. iTunes: https://t.co/soIQTtdbP9  https://t.co/co5eiiz8nm,Female
4,Try Everything de #Zootopia está nominada en los @TeenChoiceFOX! https://t.co/8T9HS06yYt ShakHQ #ChoiceMovieTVSong! https://t.co/72GiYhpljL,Shakira,shakira,#LaBicicleta @CarlosVives & Shakira. iTunes: https://t.co/soIQTtdbP9  https://t.co/co5eiiz8nm,Female
5,NUEVO VIDEO! Canten utilizando el nuevo video con la letra de #LaBicicleta de @carlosvives y Shak! https://t.co/IEmCYHQ9Ci ShakHQ 🚲🎤,Shakira,shakira,#LaBicicleta @CarlosVives & Shakira. iTunes: https://t.co/soIQTtdbP9  https://t.co/co5eiiz8nm,Female
6,NEW VIDEO! Sing along to the official lyric video for #LaBicicleta by @CarlosVives and Shak! https://t.co/IEmCYHQ9Ci ShakHQ 🚲🎤,Shakira,shakira,#LaBicicleta @CarlosVives & Shakira. iTunes: https://t.co/soIQTtdbP9  https://t.co/co5eiiz8nm,Female
7,"Wow! 4,000 personas bailando la coreografía oficial de @zumba de #LaBicicleta con @ZumbaBeto​! https://t.co/QmDCniKQ46 ShakHQ",Shakira,shakira,#LaBicicleta @CarlosVives & Shakira. iTunes: https://t.co/soIQTtdbP9  https://t.co/co5eiiz8nm,Female
8,"4,000 people doing the official @zumba choreography to #LaBicicleta! https://t.co/QmDCniKQ46 ShakHQ CC: @ZumbaBeto",Shakira,shakira,#LaBicicleta @CarlosVives & Shakira. iTunes: https://t.co/soIQTtdbP9  https://t.co/co5eiiz8nm,Female
9,#LaBicicleta Número uno! ShakHQ 🚲 https://t.co/PcPYLtt5dI,Shakira,shakira,#LaBicicleta @CarlosVives & Shakira. iTunes: https://t.co/soIQTtdbP9  https://t.co/co5eiiz8nm,Female
10,".@el_pais: ""‘La bicicleta’: la canción del verano llega desde el Caribe colombiano"" https://t.co/HXXLUzX9Bj ShakHQ @carlosvives",Shakira,shakira,#LaBicicleta @CarlosVives & Shakira. iTunes: https://t.co/soIQTtdbP9  https://t.co/co5eiiz8nm,Female
11,Seguimos buscando las mejores iniciativas en #PrimeraInfancia! Postúlate antes de Jul 31 #PremiosALASBID @MorenoBID https://t.co/lVDAgAn7Ib,Shakira,shakira,#LaBicicleta @CarlosVives & Shakira. iTunes: https://t.co/soIQTtdbP9  https://t.co/co5eiiz8nm,Female
