numberOfTweet,text,user name,screen name,description,gender
1,"If you’re an “Endeavour” fan, new season starts up on PBS this Sun! If you aren’t, get caught up. It is young Inspector Morse and very good.",bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
2,"@FruzsE Oh, Lord, Jesus, it's a fahr. (infrastructure is burning)",bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,female
3,@stesla You can thank autocorrect.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
4,"@semanticarts Also, I wasn't worried about people in your direction knowing him. 😜",bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
5,@semanticarts Giants played the Brewers last night and they have a player named Knebel.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
6,Thirteen years ago I married @hrhqkns.  ⭐️⭐️⭐️⭐️⭐️ Would recommend.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
7,@rgarner IKR.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
8,"@OhMeadhbh Of course, I remember them from Spike &amp; Mike's Animation Festival w/ ""Frog Basebell"".",bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
9,"@OhMeadhbh Their video for Radiohead's ""Creep"" is still my favorite.",bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
10,@jensschauder Stupid Autocorrect.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
11,"@OhMeadhbh No. You're messing with me, right?",bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
12,"@OhMeadhbh Of course, that image I just sent you reinforces your point.",bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
13,@OhMeadhbh https://t.co/eU62UrewHs,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
14,@kiphampton Bad ass.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
15,Theory 1: Evil Knievel’s name would still have been cool w/o the hard K. Theory 2: Many of you have no idea what I am talking about.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
16,@DjFlowe How was it?,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
17,@aaaauto And now I have to WAIT to talk to someone about signing up? You just lost a renewed customer. Well done.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
18,@aaaauto Making me call you to renew my lapsed membership makes me not want to. Why do you have a webpage if I can’t use it to renew?,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
19,@juliettepowell Both good ‘uns.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,female
20,“Congratulate Windows 10 for Having Been Installed on Your Computer for Two Weeks”,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,female
21,@bdruth I’ll look for you in the audience.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,female
22,@mogsie Happy Birthday!,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,female
23,@venkat_s I hope you have a happy birthday wherever you are today.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
24,Today's word of the day is 'Weltschmerz'.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
25,@PeterMcGraw When your book crashes...,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
26,@JenAnsbach I wouldn’t be either.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
27,@benzobot Best time of the year.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
28,@Phocion @jwindz Things are crazy all over. https://t.co/XqCMsgYD9g,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
29,@snipeyhead Excellent series. I really hope they make more.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
30,Wow. #ENGvRUS #EURO2016,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
31,@jwindz Any way they want.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
32,There are homemade Oreos being made in this house. If I got to try one you might have cause for jealousy.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
33,"Come on, Lads. #ENGvRUS #EURO2016",bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
34,Swydd da. #WALvSVK #EURO2016,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
35,@DJGrothe For large values of 0.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
36,@cpj1 I think that’s how I became a target for identity theft a few years ago. Fortunately they failed.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
37,"Thud, thud, thud.",bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
38,"@ThePracticalDev @ajlopez For the record, it was the IRIX fsn file system navigator. So, it was a way to identify a UNIX system.",bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
39,@aloria I'd avoid the red one if possible.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
40,@JenAnsbach We haven't told him.,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
41,"@jfcloutier @LokiDenHund Great, great.",bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
42,"@mstine We knew he came from champion lineage on both sides, but this dude won Westminster in 1994.",bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
43,"Holy... We were just informed that @lokidenhund's great great grandfather was the inspiration for the movie ""Best in Show"".",bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
44,@jaredrichardson @lisadawn2000 I always loved Itregular Webcomics' take that he was real: https://t.co/A9O6zvqEDo,bsletten,bsletten,Liberal Arts-Educated Foodie SemWeb REST Architectural Music Geek Software Consultant,Female
