numberOfTweet,text,user name,screen name,description,gender
1,Smh...lol https://t.co/oQe6Bc5p5A,Õ_ó,Tyrell,MSW,Female
2,"Assault...on whoever keeps running in &amp; out, running up the light bill. https://t.co/4lvgZiQbWc",Õ_ó,Tyrell,MSW,female
3,I'm off again tomorrow tho...short week for the kid.,Õ_ó,Tyrell,MSW,Female
4,"""Do you feel in charge?"" https://t.co/cADLfOC3lb",Õ_ó,Tyrell,MSW,Female
5,"Another team member is supposedly ""in charge""...we'll see how ""in charge"" he feels...",Õ_ó,Tyrell,MSW,Female
6,"Was off yesterday...came to work today to realize my boss started his vacay yesterday, instead of tomrrow...it'll be an interesting week.",Õ_ó,Tyrell,MSW,Female
7,Second-guessing reality is rather pointless today; although yo... More for Aries https://t.co/WvQuoDipQr,Õ_ó,Tyrell,MSW,Female
8,@MarcusSumrall right!...lol,Õ_ó,Tyrell,MSW,Female
9,Shootout.,Õ_ó,Tyrell,MSW,Female
10,Thompson drained that bitch!!!,Õ_ó,Tyrell,MSW,Female
11,"Romantic fantasies offer magical worlds of escape today, but i... More for Aries https://t.co/WvQuoDipQr",Õ_ó,Tyrell,MSW,Female
12,You can visualize a straight path in front of you when it come... More for Aries https://t.co/WvQuoDipQr,Õ_ó,Tyrell,MSW,Female
13,It might seem as if you're out of step with the rest of the wo... More for Aries https://t.co/WvQuoDipQr,Õ_ó,Tyrell,MSW,Female
14,"Got 3 book reviews to do...1500/5pgs each...problem is, I'm a slow reader...shit feels like I'm at an 8th grade level, at times...smh...lol",Õ_ó,Tyrell,MSW,Female
15,...starting today tho...gotta go straight from work...it's the only way I'll make it there...smh...lol,Õ_ó,Tyrell,MSW,Female
16,Gotta spend my whole weekend in the library...for chilling all semester...smh...why do I do this to myself?...lol,Õ_ó,Tyrell,MSW,Female
17,You know exactly how to skillfully employ your charm to get wh... More for Aries https://t.co/WvQuoDipQr,Õ_ó,Tyrell,MSW,Female
18,You may feel as if you're personally under attack when someone... More for Aries https://t.co/WvQuoDA1f1,Õ_ó,Tyrell,MSW,Female
