numberOfTweet,text,user name,screen name,description,gender
1,@Sesha75 @tamilnadubjp @narendramodi @AmitShah &amp; expect 2 win anything.MaduraiMeenakshi typical example of the scam.yet blame some1 else 2/2,iirangkolli,iirangkolli,"Doing what is required to protect the history for future generations - be it spiritual, archaeological, historical, cultural, language, science, technology...",Female
2,"@Sesha75 @tamilnadubjp @narendramodi @AmitShah Temple destruction, a national issues not even talked about. Hope can anyone miss this? (1/2)",iirangkolli,iirangkolli,"Doing what is required to protect the history for future generations - be it spiritual, archaeological, historical, cultural, language, science, technology...",female
3,@Sesha75 @tamilnadubjp @narendramodi @AmitShah Antiquities missing in broad day light unaccounted and not valued. Of course they lose (3/3),iirangkolli,iirangkolli,"Doing what is required to protect the history for future generations - be it spiritual, archaeological, historical, cultural, language, science, technology...",Female
4,@Sesha75 @tamilnadubjp @narendramodi @AmitShah 8066 temples renovated @ 10Cr min per temple 80660Cr unaccounted unaudited money trails (2/3),iirangkolli,iirangkolli,"Doing what is required to protect the history for future generations - be it spiritual, archaeological, historical, cultural, language, science, technology...",Female
5,"@Sesha75 @tamilnadubjp @narendramodi @AmitShah this is a scam bigger than 2G&amp;coal.Idols, pillars, floor replaced by HR&amp;CE.  (1/3)",iirangkolli,iirangkolli,"Doing what is required to protect the history for future generations - be it spiritual, archaeological, historical, cultural, language, science, technology...",Female
6,"@Sesha75 @tamilnadubjp @narendramodi @AmitShah why no fuss on demolition of temples even 2day.even Thanjavur, Srirangam not spared by HR&amp;CE",iirangkolli,iirangkolli,"Doing what is required to protect the history for future generations - be it spiritual, archaeological, historical, cultural, language, science, technology...",Female
7,@Sesha75 @tamilnadubjp @narendramodi @AmitShah @BJP4India BJP was blind even 2day about temple destruction.thats the reason.35 demolished,iirangkolli,iirangkolli,"Doing what is required to protect the history for future generations - be it spiritual, archaeological, historical, cultural, language, science, technology...",Female
8,"@SueRichter_Mann @Swamy39 when the MHC had banned such activities what sort of arrogance is this, to inspect such illegal activity! (2/2)",iirangkolli,iirangkolli,"Doing what is required to protect the history for future generations - be it spiritual, archaeological, historical, cultural, language, science, technology...",Female
9,@SueRichter_Mann @Swamy39 HR&amp;CE Assistant Commissioner Incharge of renovation visited this temple and inspected day before. (1/2),iirangkolli,iirangkolli,"Doing what is required to protect the history for future generations - be it spiritual, archaeological, historical, cultural, language, science, technology...",Female
10,@SueRichter_Mann @Swamy39 with so many things going on important things tend to get lost in the crowd.hope this gets the deserved attention,iirangkolli,iirangkolli,"Doing what is required to protect the history for future generations - be it spiritual, archaeological, historical, cultural, language, science, technology...",Female
