numberOfTweet,text,user name,screen name,description,gender
1,check out what santas bringin me for christmas just for having an email address to enter http://tiny.cc/FreeIPhoneGiveaway,melodi,melodi,,Female
2,hey can u believe they're giving away free samples of the stuff Jacob took from New Moon to get ripped here http://AcaiPureUltra.tk,melodi,melodi,,female
3,Santas bringing iphones this christmas to anyone with an email address here http://tiny.cc/FreeIPhoneGiveaway i just got mine yay =),melodi,melodi,,Female
4,Hey i found that iq quiz for New Moon that everyone was talkin about here http://NewMoonIqQuiz.tk see what score you can get,melodi,melodi,,Female
5,hey if you know a lot about New Moon and Twilight then check out this lil test here http://TwilightIqTest.tk,melodi,melodi,,Female
6,the weekend is here w00t going to see New Moon and i cant wait. i found a sweet lil quiz about the movie here http://NewMoonIqTest.tk,melodi,melodi,,Female
7,I'll bet i know more about New Moon then you do. check out this iq quiz http://TwilightIqTest.tk,melodi,melodi,,Female
8,Hey i got to see New Moon and took this cool lil iq quiz about the movie. see if you can beat the high score here http://TwilightIqQuiz.tk,melodi,melodi,,Female
9,so i went and saw New Moon last nite and got my free iphone here today http://freeiphonegiveaway.tk ya its been a good weekend =),melodi,melodi,,Female
10,all you Cotto fans feeling bad can get a lift here http://freeiphonegiveaway.tk get a free iphone with just ure email addy =),melodi,melodi,,Female
