numberOfTweet,text,user name,screen name,description,gender
1,"No thanks @tripadvisor. Haven’t been to your mobile site for awhile, and the experience will make me never come back https://t.co/dbZIWdbbiY",M.,marshall,,Female
2,"@dayoneapp yep, 2.0.6. Looks like it is because I add a line of white space between each numbered item to increase legibility for myself.",M.,marshall,,female
3,@dayoneapp I have issues with formatting of numbered lists. The display of the numbers clip. Is this on your radar? https://t.co/IF02avgE3b,M.,marshall,,Female
4,Verifying myself: I am marshall on Keybase.io. 5fWUOa1kzglItOui25wVNQrqPRZqHsEONLwq / https://t.co/OdloDP7ETF,M.,marshall,,Female
5,"@dayoneapp great job on version 2! While viewing an entry, are you going to bring back swipe up to move to the previous entry on iOS?",M.,marshall,,Female
6,@locassa any plans on an Idrated update?,M.,marshall,,Female
7,"Mistyped “Mozerella”, and #autocorrect said “Mixer Elks”",M.,marshall,,Female
8,A bobcat parade this morning. 4 of them sneaking around our yard looking for a bunny snack.,M.,marshall,,Female
9,"So much waste in this world: https://t.co/4gxunllfCY

#catalog #waste #savetheplanet",M.,marshall,,Female
10,@FastMailFM I tried to sign up for you service s few minutes ago and it said signups were not available.,M.,marshall,,Female
11,@GabeAul huzzah! Finally able to upgrade from 10074.,M.,marshall,,Female
12,Why does #build and more importantly #windows10 feel like science fiction is becoming reality?,M.,marshall,,Female
13,New LED streetlights. Kind of jarring but also pretty nice.,M.,marshall,,Female
14,"Birth through Induction, Death by Short Circuit http://t.co/PE6aGZI6sT",M.,marshall,,Female
15,Heading to @bldwin apparently!,M.,marshall,,Female
16,@locassa I've got a few bugs to report on the big 3.8 release of #idrated.,M.,marshall,,Female
17,@locassa would love to help in the future!,M.,marshall,,Female
18,@locassa hurrah! Need any testers?,M.,marshall,,Female
19,"An intimate look at William Burroughs through a series of seven unpublished portraits. 

https://t.co/gTuUXCIRrE #kickstarter",M.,marshall,,female
20,"@arnoldkim @kalmichael no hope? Lost source, no interest in the app, too many restrictions for submission to the AppStore?",M.,marshall,,female
21,"@locassa awesome, can't wait!",M.,marshall,,female
22,@locassa will iDrated get integrated into HealthKit in a future release?,M.,marshall,,female
23,Psyched that @Broken__Cloud scored a ticket to @xoxo!,M.,marshall,,Female
24,Verifying myself: I am marshall on Keybase.io. JyvWLFFck6yxZfpVsq4Ul5v2s7gExHw1hP0f / https://t.co/sokZe6vKCC,M.,marshall,,Female
25,Hurray! @duckduckgo is in #ios8!,M.,marshall,,Female
26,http://t.co/Kti5qseyLq,M.,marshall,,Female
27,Quite like hearing the rooster crow from a block away,M.,marshall,,Female
28,"Duke Ellington, pink martinis, and stuffing diapers.",M.,marshall,,Female
29,Verifying myself: I am marshall on Keybase.io. N8kTmpwtHfFN7Tc_7sdlPkzEOD2wRhja_hhn / https://t.co/BxHrwHtdIT,M.,marshall,,Female
30,"""Somehow, the math duo miscalculated the snowball's trajectory and it ended up plowing into a dorm room."" http://t.co/tF7iyctfqd",M.,marshall,,Female
31,"#Flappybird If you take me down, I shall become more powerful than you could possibly imagine.",M.,marshall,,Female
32,@zeeshanlakhani sweet!,M.,marshall,,Female
33,@locassa of course!,M.,marshall,,Female
34,@locassa working like a charm!,M.,marshall,,Female
35,"@locassa sweet, thanks for the great support!",M.,marshall,,Female
36,@readability does version 2.0 of the iOS app support any URL for adding articles like 1.0 did? readability://add/... ?,M.,marshall,,Female
37,"@locassa will there be an option to disable the ""medal upgrade"" dialogs in a future update?",M.,marshall,,Female
38,@locassa awesome! I think it would add a tad more usability. Cheers!,M.,marshall,,Female
39,"@locassa just got v2 of #idrated. Any way to set the target manually? With the new options, I have to fudge the values to get what I want.",M.,marshall,,Female
40,Glad I haven’t bought a @nest yet. No @google Borg surveilling my privacy at home in future products.,M.,marshall,,Female
41,"Hey @readability, I want the #newrdb #820a34 http://t.co/i84kc0bmGr",M.,marshall,,Female
42,@emilyyount It appears as if the http://t.co/pL4pFs4tEq RSS feeds are having a bad day...,M.,marshall,,Female
43,There is a 4 o’clock in the morning now?,M.,marshall,,Female
