numberOfTweet,text,user name,screen name,description,gender
1,Ryan Stevenson | Eye of the Storm (feat. GabeReal) [Radio Version] {Offi... https://t.co/02mCRBR0Xp via @YouTube,MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",Female
2,!!!!!!! Short-Term Memory: Hillary Forgets Four Americans Died in Benghazi | Truth Revolt https://t.co/Py8zd2SQav,MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",female
3,Rend Collective // Joy of the Lord // New Song Cafe https://t.co/SRniexFlpt via @YouTube,MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",Female
4,P U S H = Pray Until Something Happens! https://t.co/TgfF2vmvxB,MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",Female
5,Clinton U: Here's the Other Multimillion-Dollar Fraud Scandal the Media Isn't Telling You About https://t.co/w1Gd2M4URf,MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",Female
6,@marklevinshow Can you imagine how the senate COULD be run if @tedcruz were senate maj leader instead of that idiot liar @McConnellPress !!!,MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",Female
7,@BuckSexton As a teenager in Los Angeles CA in the 60's I can absolutely testify that La Raza had a long term plan to return CA to Mexico.,MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",Female
8,"Blog: Mother of NJ Zika baby flew to US to get treatment, will cost taxpayers $1 million for lifetime treatment  https://t.co/s4fJUiXlOi",MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",Female
9,@peddoc63 I believe gov has increased exponentially # of stupid people by protecting them from themselves &amp; elimination by natural selection,MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",Female
10,"@BuckSexton Smartest thing heard from a millennial ever - ""we don't need people paying more taxes we need more people paying taxes!""",MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",Female
11,SiriusXM Announces Suspension of Glenn Beck over Brad Thor Interview Comments - Breitbart https://t.co/p2UBjzx1Dm,MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",Female
12,Blog: New Fast and Furious emails show Obama administration obstructing Congress https://t.co/m1E47vgxSq,MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",Female
13,"State Rep: Don't Teach Kids Declaration of Independence, It's Racist | Truth Revolt https://t.co/NjydJZlqEg",MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",Female
14,"We need to fall to our knees &amp; pray that God, in His mercy, will once again allow His Grace to shine on America. https://t.co/paGX8QNVhX",MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",Female
15,Trickery: Katie Couric Edits Interview with Gun Rights Group | PJ Media https://t.co/B38NUlGWMt,MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",Female
16,"God, I miss George Carlin's Prophetic Lessons on Political Correctness https://t.co/DDJL1BWq6M",MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",Female
17,@MikeCrapo @SenatorRisch Thank you for voting with @SenMikeLee to stop Obama's war on our suburban neighborhoods.,MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",Female
18,@SenatorRisch Thank you for voting with @SenMikeLee to stop Obama's war on our suburban neighborhoods.,MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",Female
19,I think we've been over this before... #dejavu https://t.co/Dlbhyicfez,MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",female
20,'Lord of the Rings' star exposes pedophilia in Hollywood https://t.co/4salS8cJpo,MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",female
21,University Professor: Chopping Off Hands Per Sharia a 'Better Solution' | Truth Revolt https://t.co/jQDLsUMZJo,MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",female
22,Republican lawmakers argue for impeachment of IRS commissioner - CNN https://t.co/qXayKbqbC4,MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",female
23,GOP bill redefines 'sex' to kill Obama's bathroom rule - Washington Examiner https://t.co/MhPdCfSl28,MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",Female
24,IRS Employee Promises to 'Go After and Target' Conservative Orgs | Truth Revolt https://t.co/oDfGe1t5ZZ,MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",Female
25,Teacher Awarded $60K After Co-Workers Won't Call Her 'They' | Truth Revolt https://t.co/Cz2oO6yPzr,MyAmerica10,MYAMERICA10,"Duty is ours; results are God's ~ John Q. Adams - I am a Proud American, Unflinching Conservative & Grateful Christian. I will not comply. Remember Benghazi.",Female
