numberOfTweet,text,user name,screen name,description,gender
1,Join Pat’s Book Club &amp; Win All of Pat’s Favorite Books of 2016! https://t.co/dCNtyIOe1v via @PatFlynn,MyLin,mulan,,Female
2,Join Pat’s Book Club &amp; Win All of Pat’s Favorite Books of 2016! https://t.co/msTRRSmqZU,MyLin,mulan,,female
3,@vincentdignan giving #GrowthHacking strategies at @dallaslibrary @GeniusDenDallas https://t.co/Yv3WnmDkVI,MyLin,mulan,,Female
4,@garyvee I want one please. #AskGaryVee,MyLin,mulan,,Female
5,This is gonna be good. Growth hacking secrets ahoy! 💪🏻💥📈 https://t.co/xd9WNhg1jx https://t.co/tf3pVzYYuA,MyLin,mulan,,Female
6,must watch video from @garyvee and @davidrocknyc... so good. https://t.co/t7ugSRAvUE,MyLin,mulan,,Female
7,"@garyvee wow... my fav DailyVee 028. thank you!  awesome video, @davidrocknyc!",MyLin,mulan,,Female
8,"@garyvee Just finished watching. Loved the raw answers, topics discussed &amp; the banter! Thank you! #thatsgenius",MyLin,mulan,,Female
9,@garyvee yes near lewisville,MyLin,mulan,,Female
10,"@garyvee Pls send to @RobWoodbridge &amp; @AsifRKhan from @untether. Also to @thejasoncroft from @StartupDallasTV. Great shows. Thank you, Gary!",MyLin,mulan,,Female
11,"@PianoGuys Hi, love your music! Can you create your magic with #Photograph by @edsheeran with a classical song, please? =)",MyLin,mulan,,Female
12,I've just voted for @edsheeran to win 'British Artist Video Of The Year' for 'Photograph' at the @brits #BRITPHOTOGRAPH,MyLin,mulan,,Female
13,@garyvee @leolaporte yes! Watching https://t.co/b5958uXk2a interview and loving it.,MyLin,mulan,,Female
14,Birthday dinner with friends 😋 (@ Japon Steak House &amp; Sushi Bar) on #Yelp https://t.co/48OVG8AuWf,MyLin,mulan,,Female
15,“Communication will always evolve and find its way to get to us.” — @garyvee https://t.co/XG61n92j0m https://t.co/lfi26ZnLEB,MyLin,mulan,,Female
16,Love Guy's presentation!!! The Art of Social Media @GuyKawasaki @SM_Dallas https://t.co/keQFutpw93,MyLin,mulan,,Female
17,Building a Personal Brand by Gary Vaynerchuk https://t.co/bnFz2fFW8M via @udemy,MyLin,mulan,,Female
18,"I'm going to ""Guy Kawasaki: The Art of Social Media"".  See you there? https://t.co/6KWNEFhhG4",MyLin,mulan,,Female
19,@garyvee me! working on proposals 😁,MyLin,mulan,,female
20,"Love, Love this interview.  MUST watch!  bv02's The Brief #4 - Mobile Strategy w/ Rob Woodbridge http://t.co/tM0meKuzvZ via @robwoodbridge",MyLin,mulan,,female
21,LIVE on #Periscope: Title boxing trainer Tuesday with guest trainer John Pruna! https://t.co/zgLZoDQ1u1,MyLin,mulan,,female
22,LIVE on #Periscope: Getting ready for TITLE Trainer Tuesday at TITLE Club Plano https://t.co/wqWQ3eGbCq,MyLin,mulan,,female
23,@clintgreenleaf @GeniusDenDallas @Homeplatepb http://t.co/SXzzJLjxMA,MyLin,mulan,,Female
24,@clintgreenleaf talking about experiences from his startups at @GeniusDenDallas &amp; his @Homeplatepb  peanut butter is awesome!!,MyLin,mulan,,Female
25,LIVE STREAM:  Future of YouTube... Are they going to be left behind? w/ @derraleves @Shadow3413 @owenhemsath https://t.co/CSfYTwsrFx #blab,MyLin,mulan,,Female
26,video-marketing w/ @owenhemsath @Jason_Horton @vidpowbam @BethKahlich https://t.co/A41Pc8lhVH #blab,MyLin,mulan,,Female
27,@periscopehelp I used periscope for hour long event. I didn't see option to save video on phone. Replay very blurry. Anyway to save video?,MyLin,mulan,,Female
28,LIVE on #Periscope: TITLE Boxing Club Plano TX - All Trainers event with special guest Kimber Westphall https://t.co/gfjIMGFL1I,MyLin,mulan,,Female
29,"Wonderful, emotional speech and learning PR by @jeffcrilley at @DallasEntre event. http://t.co/zAl37deMAL",MyLin,mulan,,Female
30,“How I tricked TechCrunch into writing about my startup” by @marckohlbrugge https://t.co/CO5sZ2SME6,MyLin,mulan,,Female
31,@garyvee thank you!,MyLin,mulan,,Female
32,@GeniusDenDallas @ShroffSandeep,MyLin,mulan,,Female
