numberOfTweet,text,user name,screen name,description,gender
1,"The accolades, just like the scrapes and bruises, fade in the end, and... #NicoleKrauss #aphorism https://t.co/O3ClRjZIbT",QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
2,"Topshop is one of my favourite shops, and I love shoes by Giuseppe Zan... #LauraMvula #saying https://t.co/JArDRcresA",QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,female
3,I'm not intense at all. I'm always relaxed.... #MohamedAlFayed #quotation https://t.co/w6S1J20Hq2,QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
4,"Like Christ said, love thee one another. I learned to do that, and I l... #JamesBrown #extract https://t.co/Xzlyty0mqh",QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
5,I spoke so much about being a manic-depressive. I want to bring everyo... #RichardDreyfuss #citations https://t.co/zP6Ox4eL2F,QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
6,"I think people are just intrigued with the supernatural. I mean, I kno... #JenniferLoveHewitt #mention https://t.co/rQT1GIAyKD",QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
7,I really like the really high banked tracks.... #JuanPabloMontoya #aphorism https://t.co/WMcAuDGt0n,QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
8,I've no wish to appear in celebrity magazines.... #KellyReilly #reference https://t.co/Up4XFYPdQD,QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
9,No. Better research needed. Fire your research person. No fishnet stoc... #GeneSimmons #cutting https://t.co/y3aZ8jHA0C,QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
10,"Liberals become indignant when you question their patriotism, but simu... #AnnCoulter #aphorisms https://t.co/jK6xUqVJ92",QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
11,"In America, we have 19th century school conditions and a curriculum th... #HeidiHayesJacobs #citing https://t.co/SGkjRuvLx6",QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
12,"I've been doing Pride and Prejudice all summer, so suddenly the chance... #RosamundPike #citing https://t.co/F02ua2pHgM",QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
13,"Robotics is very interdisciplinary, and so, except at a very few colle... #RodneyBrooks #citation https://t.co/9rWHkCUXNA",QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
14,I see myself as a recovering journalist.... #AnnalenaMcAfee #quotations https://t.co/NkiNxD2NHi,QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
15,"If someone puts up $100 million on a movie, they're gonna be concerned... #LiliTaylor #recitation https://t.co/5bDAoyRQVD",QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
16,"Truth is, I'll never know all there is to know about you just as you w... #TomHanks #excerpt https://t.co/NBzJVtknrt",QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
17,"I think the reason I'm a writer is because first, I was a reader. I lo... #AndrewClements #aphorisms https://t.co/dGSeUkBACc",QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
18,It wasn't my intention in going after this part but I suppose now I do... #EmmyRossum #citations https://t.co/AMan8bFdGZ,QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
19,"I went to the top of the Cotton Bowl by myself, sat down and cried.... #LesleyVisser #quotations https://t.co/RrTIsNCOxw",QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,female
20,You can find inspiration for man's behaviour wherever you look.... #MarilynManson #mention https://t.co/9DYIqtcM2t,QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,female
21,"I think that to fully appreciate baseball, it helps to have been born ... #KhaledHosseini #recitation https://t.co/IPQjtZIoxY",QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,female
22,China invaded Tibet. It invaded it. So all this nonsense about them be... #JoannaLumley #aphorism https://t.co/QbgQa2hCCE,QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,female
23,"Even in the darkest regions, people have discovered their right of fre... #JavierBardem #citing https://t.co/0RyPYE9NV9",QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
24,"The aggressive, unprovoked acts of violence against Israel by Hezbolla... #JohnBoehner #aphorisms https://t.co/KQ0id1qMA0",QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
25,"In the beginning, Barry and I couldn't decide if we were going got go ... #RobinGibb #reference https://t.co/LXFEspHCCe",QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
26,Growing hemp as nature designed it is vital to our urgent need to redu... #JackHerer #citation https://t.co/9RAJ09j37G,QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
27,Postfix keeps running even if one Postfix process dies; Windows requir... #WietseVenema #openquotes https://t.co/8fDZYEpdNP,QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
28,"For one who reads, there is no limit to the number of lives that may b... #LouisLAmour #citation https://t.co/yWcHXyb2pR",QSalabanzi,QSalabanzi,An avid book reader and freethinker. I share a lot of quotes,Female
