numberOfTweet,text,user name,screen name,description,gender
1,Supreme Court Inaction Boosts Right To Record Police Officers http://t.co/CKvSn3ua via @HuffPostPol,ebony,ebony,"truth, balance, order, law, morality, and justice.",Female
2,Donald Trump's Vegas Steakhouse Shut Down For Health Violations - Forbes http://t.co/Qn3Nr43d,ebony,ebony,"truth, balance, order, law, morality, and justice.",female
3,Paul Ryan: Obama Win Given By 'Urban' Areas http://t.co/IZnKfdiK via @HuffPostPol,ebony,ebony,"truth, balance, order, law, morality, and justice.",Female
4,Conservatives Bash Christie For Cooperating With Obama Post-Sandy http://t.co/Zf5yCFnx via @thinkprogress,ebony,ebony,"truth, balance, order, law, morality, and justice.",Female
5,"Sen. Lindsey Graham censured, again - Andy Barr - http://t.co/FEDVodge http://t.co/t2smMQN6",ebony,ebony,"truth, balance, order, law, morality, and justice.",Female
6,"Newsweek Ending Print Edition, Going All-Digital In 2013; Job Cuts Expected http://t.co/19iVU01y via @HuffPostMedia",ebony,ebony,"truth, balance, order, law, morality, and justice.",Female
7,Gabby Douglas Wins Gold In Women's Gymnastics Individual All-Around (PHOTOS) - Gabrielle Douglas http://t.co/0U7fp2CN,ebony,ebony,"truth, balance, order, law, morality, and justice.",Female
8,Arteaus gets $12M in equity funding - Mass High Tech Business News http://t.co/Z2FwMDzj via @sharethis,ebony,ebony,"truth, balance, order, law, morality, and justice.",Female
9,Grateful father gives back by overhauling his career http://t.co/1tnX2BYu via @BBJNewsroom,ebony,ebony,"truth, balance, order, law, morality, and justice.",Female
10,Three green and white helicopters flying around uptown charlotte. I wonder why?,ebony,ebony,"truth, balance, order, law, morality, and justice.",Female
11,@AppleVacations Drop Rush. #BoycottRush,ebony,ebony,"truth, balance, order, law, morality, and justice.",Female
12,Drop Rush. #BoycottRush,ebony,ebony,"truth, balance, order, law, morality, and justice.",Female
13,@ADTstaysafe Please do not advertise with Rush.,ebony,ebony,"truth, balance, order, law, morality, and justice.",Female
14,@ProFlowers I hope you make a decision soon.,ebony,ebony,"truth, balance, order, law, morality, and justice.",Female
15,Slavery Examples Used In Georgia School Worksheet Upsets Parents (VIDEO) http://t.co/yBuNOnhW via @huffingtonpost,ebony,ebony,"truth, balance, order, law, morality, and justice.",Female
16,http://t.co/WUTSwNbf,ebony,ebony,"truth, balance, order, law, morality, and justice.",Female
