numberOfTweet,text,user name,screen name,description,gender
1,"@imnanobii youtube will never cost anything! i guess we have to go there with music. it is sad, because soundcloud was so good the other day",Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
2,@MrGrumpyMusic haha sure. my twitter is the first to know when something is coming :),Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,female
3,@MrGrumpyMusic thank you man! :),Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
4,"it is crazy but i get inspired everytime i watch these @MartinGarrix episodes on youtube! one day, who knows......",Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
5,successfully extracted the kickdrum from dyro's black smoke.. its on my snapchat @madistt_music,Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
6,@imnanobii love your theme edit ✌,Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
7,i might be streaming on saturday. add me on https://t.co/kcQUPhAOmN,Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
8,add me on snapchat for the most recent updates. https://t.co/p7qCxl7Xam,Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
9,"was just a small stream. me showing some new upcoming beats for a song.
follow me on twitch for more streams soon. https://t.co/kcQUPhAOmN",Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
10,i set up a small stream on https://t.co/kcQUPhAOmN,Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
11,"@JulianJordan wow, you made it! congrats! kill it.",Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
12,@sveakrn @Hanniii1000 @itsClaradream @Fluxpavilion haha kein ding denk ich mal :) war nur en hinweis ;),Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
13,@sveakrn @Hanniii1000 @itsClaradream @Fluxpavilion Eher so! :),Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
14,this is the 'who-gave-the-most-money-for-12-points' contest! #Eurovision,Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
15,@ExterkateRik @HellbergMusic just wanted to tweet this haha.,Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
16,@wrldmusic @knifepartyinc but they said it is SHM lol,Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
17,@jamesegbert @Roland_US the awesome @porterrobinson stage synthesizer! ^^,Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
18,Soundcloud has a new log in design but doesn't get their followings cache problem fixed! i have no words for this 'service',Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
19,@MaddixMusic both layered i guess.. really cool sound!!,Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,female
20,.@MaddixMusic which synths did you use for the 'True Blood' main part?!,Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,female
21,insert obligatory radiohead hate tweet here,Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,female
22,@mit1995tim rauche isch ugsund jung. :),Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,female
23,now you know. it is all (at) madistt but snapchat is (at) madistt_music,Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
24,tweets for latest news. facebook posts for big news. instagram for pictures and snapchat for short video news.,Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
25,@emberisland_ harry potter,Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
26,got a new song out on my soundcloud! check this one out and tell me what you think of this different music. https://t.co/hgdCAGwLoL,Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
27,@mit1995tim Joa is ganz in Ordnung ;),Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
28,@cut_the_codec @DILLONFRANCIS @DJRichAF @TheRealDjHanzel Where is Darleeenn?,Madistt,madistt,20 years old electronic music producer doing what he loves the most. just pressing some buttons in front of his computer.,Female
