numberOfTweet,text,user name,screen name,description,gender
1,What a great end of the year event for school prize giving.   Amelia sang beautifully with… (w/ Jason) [pic] — https://t.co/3KvhXIg2wv,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
2,It's been really warm this week. (with Jason) [pic] — https://t.co/do1afRI97u,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",female
3,It's a boy.  November 1 due date.  #babyboop (with Jason) [pic] — https://t.co/vXiuvifbef,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
4,I'm at Folktandvården Mörby Centrum https://t.co/V1ZvyMHMY4,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
5,Yup. (with Jason) [pic] — https://t.co/rDTcHffGRO,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
6,Isabelle wins!!! (with Jason) [vid] — https://t.co/NUFofXnOAl,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
7,Cooling off. (@ Medley Mörbybadet - @medleyab in Danderyd) https://t.co/jx4Dz7zzuT,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
8,My beautiful girl turned 7 years old today!!!! (with Jason) [pic] — https://t.co/qL0V5TJiNO,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
9,"Kanye to Taylor Swift: ""I'mma let you finish but Beyoncé just made the best album ever throwing shade at an ex"" #lemonade",@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
10,Harriet Tubman will replace Andrew Jackson on the US $20 bill. I can only imagine how great this will look in a stripper's g-string soon.,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
11,"Today I'm going to so GTD That I'm going to G the Shit out of TD today.  

Or I'll take a nap.  I'll flip a coin when I get around.",@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
12,"""Mom.  Did you know that sometimes when a mommy and daddy kiss and hug it goes into… (w/ Jason at @ritzcarlton) — https://t.co/bDhiPb5Nst",@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
13,Yes.  All the tacos. (with Jason at Taqueria Guadalajara) — https://t.co/rygYd6Uoos,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
14,So nice.   Soooo nice. (with Jason at Helen Diller Playground) — https://t.co/QIIvmK8jXU,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
15,Great day with Jennifer Tharp where we had a lovely lunch and hung out with… (w/ Jennifer at @radissonblu) [pic] — https://t.co/fteq1WRUgq,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
16,Mom feels in full swing. ♫ Never Grow Up by @taylorswift13 (with Jason) — https://t.co/U4kss9Bmcg,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
17,Cool. Found over $120 in claims today.  You?  https://t.co/tH7vRGBQro,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
18,Might be the most gorgeous pharmacy I've ever been in.  119 years old in the… (w/ Jason at Apoteket Storken) — https://t.co/XAlr6D4Iom,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
19,Friday night dinner. (with Jason) [pic] — https://t.co/wFGne3lOpo,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",female
20,Snow. (with Jason) [pic] — https://t.co/quX0z2qXPm,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",female
21,"Dear @nike, it is lunar new year for a lot of cultures, not just Chinese. https://t.co/f48IAX0DG5",@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",female
22,Happy lunar new year!! (with Jason) [pic] — https://t.co/HwMR71lKkg,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",female
23,It'd being treated as another hoax.  School is open. Girls refuse to go to school today.  #bombthreatsarethenewsnowdays,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
24,Bomb threat #3 at girls school.  Staying home.  😠😡😡 (with Jason),@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
25,"""NO ONE GIVES A FUCK ABOUT YOUR FUCKING EVERYTHING BAGELS AND GARLIC SHMEARS YOU ASSHOLE. SOMEONE TRIED TO BOMB MY 4 YEAR OLD'S SCHOOL.""",@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
26,"Oh, the weather is so warm today!   My brain and standards for temperature comfort are so… (w/ Jason) [pic] — https://t.co/rWhyAzKJQl",@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
27,Scene today: middle-aged Korean American woman screaming furiously in her car that millennial's fucking ruin… — https://t.co/JsHYSvwpiT,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
28,From satire to prophecy. ★ Idiocracy — https://t.co/nISSyFb08c,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
29,Best thing on the internet this week = Chef Taro - Japanese recipes illustrated like Manga.  OMFG BEST THING EVER. https://t.co/FbAL28D0SB,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
30,One of the fish in our pond still lives! (with Jason) [vid] — https://t.co/z0ikjoRYs2,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
31,"Reminder  - if you're buying stuff on amazon, use https://t.co/47QlX6wyDa and donate to charity while you avoid the malls. Boom.",@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
32,Definitely got some looks yesterday when I told Isabelle I was proud of her for not liking Goldilocks story as… — https://t.co/apEPczGaw6,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
33,@ajplus #thanksdonald.,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
34,So now ... every time there's a hate crime against Muslim Americans do we say #thanksdonald ?,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
35,"Behold. The most analog thing in the Apple Store.  A manual… (w/ Jason at Apple Store, Täby Centrum) [pic] — https://t.co/8vVTUJSnGz",@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
36,"Idea.  Gov uses Trump supporters list to profile &amp; id imminent threats in domestic terrorism,hate crimes,etc. Maybe put them in a registry.",@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
37,Happy Anniversary to you too! @jasonh. (with Jason) [pic] — https://t.co/rpPX25UpNc,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
38,4 very awesome years of this kid.   Happy birthday Wizabelle!!! (with Jason at Djursholm) [pic] — https://t.co/i7IVKj8mHG,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
39,Is anyone else annoyed that the new AppleTV doesn't let you use your flickr account for a screensaver anymore? #appletv #flickr,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
40,People seem to have forgotten that refusing to provide sanctuary to those escaping religious persecution is neither American nor Christian.,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
41,The startup scene w/ iits unicorn nomenclature does a massive disservice to  My Little Pony.  Twilight Sparkle would be horrified.,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
42,"Gentle reminder to our nations' leaders - being louder while refusing facts, history, and science doesn't demonstrate competent leadership.",@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
43,More damage getting pushed into the rail. (with Jason) [pic] — https://t.co/wmaKsHV52w,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
44,Fin. (with Jason) [pic] — https://t.co/ehjHc5vsLT,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
45,"I have lots of shit to do but I'd rather spend the next hour auditing the girls' art supplies,… (w/ Jason) [pic] — https://t.co/VmsvN3rsw7",@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",female
46,Ridiculously awesome indoor play park. (with Jason at Leo's Lekland) [pic] — https://t.co/Het28EN7io,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
47,Lunch with the ladies. (at Berns Asiatiska) — https://t.co/2HpSqTJpJL,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
48,"Pano of chuseok meal at my friend hyejoung's home. (with Jason, Clara, and 2 others) [pic] — https://t.co/F0cr5Djl6n",@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
49,Just watching Kpop band Taurine perform in Sweden.  Nbd. (with Jason at Skeppsholmen) — https://t.co/mxjCLaHMRW,@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
50,"Family dinner.  Mandoo guk, dukbooki, sprouts, spinach, gennip, gakduki, kimchi, radish green… (w/ Jason) [pic] — https://t.co/xrjxwNszHb",@Mj,MJ,"Hijinks, Hugs, and Haikus I'm also pretty sure that I'm NOT Michael Jackson.",Female
