numberOfTweet,text,user name,screen name,description,gender
1,"Sacramento, CA Housing Market Sales Snapshot for June 2008  http://tinyurl.com/5lcjgh",shrugger,shrugger,Mac Computer Trainer,Female
2,http://twitpic.com/3eaj - At the Black Bear to meet my buddy...,shrugger,shrugger,Mac Computer Trainer,female
3,NCMUG board meeting,shrugger,shrugger,Mac Computer Trainer,Female
4,Good to see you Johnny Blaze,shrugger,shrugger,Mac Computer Trainer,Female
5,Why is AIM so unreliable?,shrugger,shrugger,Mac Computer Trainer,Female
6,"Geez, it's 101 degrees in Cotati.  Bodega tomorrow.",shrugger,shrugger,Mac Computer Trainer,Female
7,My second blog posts will top 500 unique views.,shrugger,shrugger,Mac Computer Trainer,Female
8,Lifting bricks to grows bricks.  See you at 11:30.,shrugger,shrugger,Mac Computer Trainer,Female
9,The Yahoos are not happy with their press coverage.,shrugger,shrugger,Mac Computer Trainer,Female
10,To the gym - 50 minutes of cardio.  New weight program tomorrow.,shrugger,shrugger,Mac Computer Trainer,Female
11,"Naw, I'm not getting a 3G iPhone.  I want 32 GB.",shrugger,shrugger,Mac Computer Trainer,Female
12,"Mmmm, good smoothie.",shrugger,shrugger,Mac Computer Trainer,Female
13,Blogging at Redwood Cafe,shrugger,shrugger,Mac Computer Trainer,Female
