numberOfTweet,text,user name,screen name,description,gender
1,#solitahub yksi tavoite kaikille tulospalkkauksessa vauhditti #yhdenluukunperiaate tta #Vantaa lla,Rincess,rinsessa,,Female
2,#solitahub #Vantaa #3d #4d #5# kaupunkimalli https://t.co/ULmv7OWO1s,Rincess,rinsessa,,female
3,"#Solitahub : Tehokkuutta sähköiseen asiointiin ja asianhallintaan, #Vantaa #lupapiste  #yhdenluukunperiaate https://t.co/59lZQ18nrF",Rincess,rinsessa,,Female
4,#solita #houseparty https://t.co/66nwP4QUY1,Rincess,rinsessa,,Female
5,#SolitaTech https://t.co/uqEcEKrN86,Rincess,rinsessa,,Female
6,Biokemisti: Samppanja parantaa muistia http://t.co/toqz3ofAke #Viini #skumpparekka #wappuradio,Rincess,rinsessa,,Female
7,Vika on mekaaninen – http://t.co/YWb0pQTXFK uhkaa perintätoimilla — Jakamisen arvoisia asioita http://t.co/4yYV2erCTC,Rincess,rinsessa,,Female
8,Kaapista löytyi vain japanilaista #viski ä. Suosittelen kuitenkin myös muita #viski laatuja. http://t.co/QxTIoEoRDn,Rincess,rinsessa,,Female
9,Kiitos @kaijapoysti innostavasta esityksestä #teollineninternet Tampereella,Rincess,rinsessa,,Female
10,Apparna som kan göra dig lycklig - DN.SE http://t.co/vGcHC1Y8fp,Rincess,rinsessa,,Female
11,6 Ways The Internet Of Things Will Develop By 2025 http://t.co/h45KXQyf8a,Rincess,rinsessa,,Female
12,"@rikusuokas kiitos, Tampereella toimi hyvin",Rincess,rinsessa,,Female
13,@malleseilo4 http://t.co/CBiCGokC40,Rincess,rinsessa,,Female
14,"@rinsessa 
Aivan, puhumattakaan esim #elisaviihde palvelusta. Ei toimi macillä eikä elisan oman boxin kautta.",Rincess,rinsessa,,Female
15,Digiboksi pilvessä on rampa ankka http://t.co/mPFBBwqa7P,Rincess,rinsessa,,Female
16,Abc,Rincess,rinsessa,,Female
17,http://t.co/lnMDpl8eTa,Rincess,rinsessa,,Female
18,@NietulaJani ilmasta http://t.co/tNmgYsEyeJ,Rincess,rinsessa,,Female
19,tadaa,Rincess,rinsessa,,female
20,Jjvmkk http://t.co/XpawMxeY8R,Rincess,rinsessa,,female
21,jrp jep,Rincess,rinsessa,,female
22,"Katri Stenberg, Mältinrannassa http://t.co/qDONCrPMxU",Rincess,rinsessa,,female
23,http://t.co/kaPe7F4uFf,Rincess,rinsessa,,Female
24,http://t.co/jFvfGSbdDc,Rincess,rinsessa,,Female
25,http://t.co/6BKATqK0vF,Rincess,rinsessa,,Female
26,http://t.co/48Ftbd0gfA,Rincess,rinsessa,,Female
27,London http://t.co/ZXOgCEfuBg,Rincess,rinsessa,,Female
28,http://t.co/rHx8UthV07,Rincess,rinsessa,,Female
29,Winter http://t.co/67Rt7gf3Kk,Rincess,rinsessa,,Female
30,Meeting http://t.co/esiacZef,Rincess,rinsessa,,Female
31,http://t.co/UMSUsIFC,Rincess,rinsessa,,Female
32,http://t.co/7EbrKa0S,Rincess,rinsessa,,Female
33,http://t.co/waCnE3nB,Rincess,rinsessa,,Female
34,http://t.co/60DH7cOn,Rincess,rinsessa,,Female
35,http://t.co/2oOqqkIx,Rincess,rinsessa,,Female
36,http://t.co/BpOLbXyH,Rincess,rinsessa,,Female
37,http://t.co/fA3WpV8z,Rincess,rinsessa,,Female
38,http://t.co/so9qr84P,Rincess,rinsessa,,Female
39,Ja näin http://t.co/szWc1zXC,Rincess,rinsessa,,Female
40,Näino http://t.co/mHz5dj7Z,Rincess,rinsessa,,Female
41,aha,Rincess,rinsessa,,Female
42,"Digia ostaa Qt-toiminnan Nokialta - laajenee Androidiin, iOS:ään ja Windowsiin - Yrityskaupat - Talouselämä http://t.co/9i1iVZj9",Rincess,rinsessa,,Female
43,"My style is Artistic, Whimsical, and Free-Spirited! Take the style quiz at ShoeDazzle and find out your style profile. http://t.co/j5Z9fR6n",Rincess,rinsessa,,Female
44,"Nokia 808 PureView announced, dramatically extends world camera phone leadership: http://t.co/Lpom76ZO via @AddThis",Rincess,rinsessa,,Female
45,Guggenheim Offers Free Books! - http://t.co/0KGU8MnO,Rincess,rinsessa,,female
46,aikainen aamu http://t.co/mUpOouvw,Rincess,rinsessa,,Female
47,"lähden tästä kuntosalille, kävellen",Rincess,rinsessa,,Female
48,"@lrysa tästä ei tiedä mitä kuvaa olet kommentoinut, oli muuten sairaan ihana ilma, olin ulkona pari tuntia",Rincess,rinsessa,,Female
49,http://t.co/PGNdx1bR,Rincess,rinsessa,,Female
50,http://t.co/qZOIkxil,Rincess,rinsessa,,Female
51,http://t.co/jylvw7JW,Rincess,rinsessa,,Female
52,RT @rinsessa kake http://t.co/6Xxg9CIZ⁰hmm ihme widgetti,Rincess,rinsessa,,Female
53,kake http://t.co/6Xxg9CIZ,Rincess,rinsessa,,Female
54,"eihän tässä oo  mitään järkee. Mulle tulee mailiin Liisan viedti, mut täällä sitä ei näy!",Rincess,rinsessa,,Female
55,http://t.co/clZFlZ6C,Rincess,rinsessa,,Female
56,http://t.co/fGNLqhJC,Rincess,rinsessa,,Female
57,"@lrysa luulen että tää ei oo teinien juttu, ainakaan mun tutut teinit ei twiittaa",Rincess,rinsessa,,Female
58,"@lrysa ai ruispuuroa, hiutaleista vai jauhoista. Minulla oli aamiaiseksi blini, mädillä, smetanalla ja punasipulilla",Rincess,rinsessa,,Female
59,nyt komeroon kokoukseen!,Rincess,rinsessa,,Female
60,"Liisa, seurasinhan mä sua jo valmiiksi!",Rincess,rinsessa,,Female
61,Draw a #stickman http://t.co/g8gYaiFz via @hitcents,Rincess,rinsessa,,Female
62,holiday,Rincess,rinsessa,,Female
63,http://twitpic.com/4id72m,Rincess,rinsessa,,female
64,? http://twitpic.com/45wbe8,Rincess,rinsessa,,Female
65,luminen työmatka http://pi.pe/-nwbbwi #talvi,Rincess,rinsessa,,Female
