numberOfTweet,text,user name,screen name,description,gender
1,@StephenMilnes @uniofbathdmc @RhianGriggs This'll be stuck in our heads all afternoon now! 🎵 Ridicule is nothing to be scared of 🎵,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
2,@dandineen @StephenMilnes Missed it! I'm at a wedding and it's not Euro-themed 😢,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,female
3,@dandineen Stannis is the most convincing.,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
4,@itspaulmcgroovy Sorry I didn't mention it earlier but only just found out about it. I like the language guide.,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
5,@itspaulmcgroovy Oh we will. (Have you seen NYU's though? PDFs but: https://t.co/DFB6OGRHSH) https://t.co/UIz77DqeVc,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
6,"@ChrisShimVin Just looked up their results 😱 Oh well, there's some fun in rooting for the underdog!",Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
7,Got Albania in the office Euro 2016 sweepstake. 300/1 odds. Definitely the Leicester of the Balkans.,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
8,"Just watched Lucy and all I can think is ""Imagine four balls on the edge of a cliff""",Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
9,@itspaulmcgroovy University of Bath? 😉,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
10,"@chao_xian Oh no, broken? :\ What happened?",Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
11,"@chao_xian Oh yikes, hope everything is alright :(",Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
12,@cinemashoebox Probably Captain Corelli's Mandolin so he has to face up to that awful accent. Does he have to watch the Garfields as well?,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
13,@TeamBath Are these images of the gym refurbishment accurate? Says there will be 10 lifting platforms but I count 4: https://t.co/Dv8hXAO835,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
14,"@cinemashoebox After many hours of deliberation, I have determined this is not worth it",Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
15,@JusAnIdea I've thought about it and decided I just want them to recast with Jemaine Clement immediately. In a wig.,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
16,I tweeted a copy of that dog vid earlier but that is the original and it is TWICE AS LONG 💖,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
17,I'm rewatching the last episode right now and I can't tell if this tweet has ruined Jaqen for me or made him amazing https://t.co/L8bDvDPc5r,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
18,@cinemashoebox Sorry for getting your hopes up. I definitely thought it would happen but 15 minutes is a long time on Twitter.,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
19,@cinemashoebox I'm still waiting for us to be fav-spammed by random #brand bots but I'm sure it'll happen soon,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,female
20,@cinemashoebox The mark of a #brand guru. You should do some #consultancy,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,female
21,@cinemashoebox I recognised you from the excellent taste in profile pictures,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,female
22,"If I had to be positive I'd say that it had, um, good costumes? And also this review was funny: https://t.co/rUDlm6ZNo0 But god what a mess.",Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,female
23,Also making Channing Tatum wear that fake goatee should be a crime,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
24,Just watched Jupiter Ascending and now I can never take Eddie Redmayne seriously ever again,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
25,"Uglycrying right now so thanks Game of Thrones, you assholes",Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
26,@dandineen @tomnatt @liammcmurray Dunno – I had it in the calendar for next week but this week is good too,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
27,"@dandineen Ooh, sweet! Hope the rest of your Jekylling goes smoothly – no more unexpected Hydes.",Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
28,@dandineen I have no solutions but I am nosy. What are you working on?,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
29,@tomnatt @RhianGriggs how's red tape as a building material?,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
30,"@RhianGriggs I'm most concerned about the room labelled ""outhouse""",Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
31,@dandineen @tomnatt @liammcmurray This is funny but I hate Trump too much to follow it ⚔,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
32,@RhianGriggs #househunt must not pause for the weekend. WTF is going on with this? Floorplan even more confusing. https://t.co/SWdqbMc5lR,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
33,"@ChrisShimVin USA Today describes ""glorious performances with singers clad in what can only be described as glam medieval fetishwear""",Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
34,@ChrisShimVin Austealia were robbed!,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
35,"SAVE US, TIMBERLAKE #eurovision",Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
36,"@itspaulmcgroovy Yeah, it's been annoyingly non-batshit lately",Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
37,@RichProwse Definite low-budget sci-fi theme this year!,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
38,This is horrible #Eurovision,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
39,Eurovision going from Byrgenwerth to Cainhurst Castle,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
40,I'm so honoured https://t.co/fQ7zM0U3nh,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
41,This was probably a terrible idea which nobody else will find funny,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
42,Was ill and bored so I made an account just for excerpts of Wikipedia articles about the defunct soap opera Passions https://t.co/8sqgaltKzO,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
43,@HannaMiet There's still time to put one on!,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
44,@sstarr @uniofbathdmc Obviously all totally 100% according to plan... 😅,Iris,iris,Probably not your friend who is also called Iris. Definitely not a 94-year-old fashionista.,Female
