numberOfTweet,text,user name,screen name,description,gender
1,@KatyTurNBC please post the Clinton fact checked article. thanks,ruslev,ruslev,,Female
2,@jdelreal who will cover the old post office re-opening?,ruslev,ruslev,,female
3,@brianstelter it was a dumb headline -,ruslev,ruslev,,Female
4,@Jamie_Weinstein @DavidMDrucker making that “pivot”,ruslev,ruslev,,Female
5,@jpodhoretz @JeffreyGoldberg did trump force Hillary to use the term? or was it poll tested approved?,ruslev,ruslev,,Female
6,@daveweigel @agearan i hope they talk about the green economy. it will create many jobs in those states.,ruslev,ruslev,,Female
7,@amandacarpenter clinton scared of bernie  ap first; now obama. trying to shut him down.,ruslev,ruslev,,Female
8,@mollyesque @ByronYork I liked President Romney.,ruslev,ruslev,,Female
9,@BenSasse nope,ruslev,ruslev,,Female
10,Hungry? Get $10 off your first order on #UberEats with my code: eats-uberruslevue. https://t.co/9tSaYQb9ug,ruslev,ruslev,,Female
11,@jimrutenberg @brianstelter this is an application of the old Clinton playbook.,ruslev,ruslev,,Female
12,"@ethanepstiiiine with all these violent rallys, could Cali voters move to Trump in the general if he campaigns heavy in-state?",ruslev,ruslev,,Female
13,@RichardGrenell wpost is commenting at least,ruslev,ruslev,,Female
14,@TheFix at least your paper is covering this debacle.,ruslev,ruslev,,Female
15,@RichardGrenell @ABC @CBSNews @BuzzFeedBen dishonest press won’t allow hrc speech overshadowed.,ruslev,ruslev,,Female
16,@mckaycoppins @LeonHWolf @mlcalderone can’t wait to see the ones under HRC,ruslev,ruslev,,Female
17,@jmartNYT old school.,ruslev,ruslev,,Female
18,@mattkatz00 @maggieNYT His inroads with Ds in blue states gives confidence that he can flip the map? network bigger than thought?,ruslev,ruslev,,Female
19,@politico_media @MSNBC it shows that they are banking on Trump,ruslev,ruslev,,female
20,@MorningsMaria @FrankLuntz @HillaryClinton @MikeBloomberg @MariaBartiromo his tax return and personal life be fun to examine.,ruslev,ruslev,,female
21,@jeneps @brianstelter and that presser will dominate the cable channels all day.,ruslev,ruslev,,female
22,@jpodhoretz i think he can play the victim better than HRC,ruslev,ruslev,,female
23,@CNNAshleigh does https://t.co/YWA2KdqUaW give to GOP candidates? can’t find on website. Please clarify.,ruslev,ruslev,,Female
24,@PatrickRuffini @brianefallon all coverage is good coverage,ruslev,ruslev,,Female
25,@TomLlamasABC @jdelreal like so many before you,ruslev,ruslev,,Female
26,@maggieNYT @HallieJackson don’t these outbursts and wild talk compel cable to cover these events?,ruslev,ruslev,,Female
27,@alivitali that could go viral,ruslev,ruslev,,Female
28,@amandacarpenter he wouldn’t want another audit.,ruslev,ruslev,,Female
29,@chucktodd sucking up air time on cable to show the giving - not bad press,ruslev,ruslev,,Female
30,@BuzzFeedAndrew to his core it appears that politicians are not protecting U.S. interests.,ruslev,ruslev,,Female
31,@TheFix when you have a staff of 700 the simplest things like getting the right slogan becomes a major undertaking. how many committees?,ruslev,ruslev,,Female
32,@brianstelter problem with Trump theories is that trust in mainstream media has eroded so much.,ruslev,ruslev,,Female
