numberOfTweet,text,user name,screen name,description,gender
1,"I was overcome by the urge to sing Carey! The wind is in from Africa, and last night I couldn't sleep. #GreekTravels (6/6)",Courtney,cour,Future bird watcher,Female
2,Discovered that I can scare husband by singing Joni Mitchell while riding on back of scooter. He thought I was dying. #GreekTravels (5/6),Courtney,cour,Future bird watcher,female
3,"Once we got to Lefkada, husband and I rented a scooter to beach hop. Easily my favorite part of our vacation. #GreekTravels (4/6)",Courtney,cour,Future bird watcher,Female
4,Their explanation: Nothing works in Greece. #GreekTravels (3/6),Courtney,cour,Future bird watcher,Female
5,Tried to take a bus but missed it because it had left early. Stranded locals were so angry they called the police. #GreekTravels (2/6),Courtney,cour,Future bird watcher,Female
6,I don't even Lyft Line but I just spent five hours crammed in the back of a cab with a carsick Yia Yia and her daughter. #GreekTravels (1/6),Courtney,cour,Future bird watcher,Female
7,It me 🍩 https://t.co/hyZrJbJjTD,Courtney,cour,Future bird watcher,Female
8,My new goal is to maintain this number of unread emails in my inbox. https://t.co/Qn2qlIhnXX,Courtney,cour,Future bird watcher,Female
9,"Paris’s Line 14 subway, which runs about the same length as SF's Geary Street, is 400% faster than the 38-Geary. 🚎 👎🏼https://t.co/JrJdtrMfKK",Courtney,cour,Future bird watcher,Female
10,"""While most Trump voters acknowledge that climate change is happening, just 35% said they were worried about it."" 😒 https://t.co/srF1EjdXcP",Courtney,cour,Future bird watcher,Female
11,My favorite interpretation of the Met Gala theme is Orlando Bloom's pooping tamagotchi https://t.co/Q49aBkuqCE,Courtney,cour,Future bird watcher,Female
12,Technology: https://t.co/j6ncrbp0Tq,Courtney,cour,Future bird watcher,Female
13,Today's the 50th anniversary of the founding of the Church of Satan in SF 🎉🎂 https://t.co/3UDatAl499,Courtney,cour,Future bird watcher,Female
14,Shit guys! 🐝 https://t.co/qB49r8fGHf,Courtney,cour,Future bird watcher,Female
15,I would be the one in the debate audience shushing everyone.,Courtney,cour,Future bird watcher,Female
16,I like butter too!  https://t.co/dsmLo04m90,Courtney,cour,Future bird watcher,Female
