numberOfTweet,text,user name,screen name,description,gender
1,Pet Names Starting With C Devising action to Warkworth Hold Commissioners’ arbitration to b ... - https://t.co/hR09KVbhmB,BeckerHadden,BeckerHadden,Proud zombie advocate. Hardcore creator. General bacon maven. Internet aficionado. Professional food lover.,Female
2,Inside the marketing machine to make an ‘it’ vegetable; how growers hired public relations and marketing help to create a superfood.,BeckerHadden,BeckerHadden,Proud zombie advocate. Hardcore creator. General bacon maven. Internet aficionado. Professional food lover.,female
3,"Chief nutritionist Mike Maslanka chops bamboo for pandas, blends special recipes for gorillas and caters to the rest of the finicky f...",BeckerHadden,BeckerHadden,Proud zombie advocate. Hardcore creator. General bacon maven. Internet aficionado. Professional food lover.,Female
4,"After falling behind Facebook Messenger and WhatsApp, Apple’s putting the work into Messages. Joanna Stern says it goes deeper than j...",BeckerHadden,BeckerHadden,Proud zombie advocate. Hardcore creator. General bacon maven. Internet aficionado. Professional food lover.,Female
5,"Facebook published on Tuesday new details on how it conducts research using the personal information it collects on Facebook users, a...",BeckerHadden,BeckerHadden,Proud zombie advocate. Hardcore creator. General bacon maven. Internet aficionado. Professional food lover.,Female
6,"Allied defense ministers formally recognized cyberspace as a domain of warfare on Tuesday, an acknowledgment that modern battles are ...",BeckerHadden,BeckerHadden,Proud zombie advocate. Hardcore creator. General bacon maven. Internet aficionado. Professional food lover.,Female
7,The Russian national soccer team will be expelled from the European Championships if its fans cause any more disturbances inside a st...,BeckerHadden,BeckerHadden,Proud zombie advocate. Hardcore creator. General bacon maven. Internet aficionado. Professional food lover.,Female
8,"U.S. retail sales rose solidly in May, the latest evidence of accelerating growth as the Federal Reserve considers the economic outlo...",BeckerHadden,BeckerHadden,Proud zombie advocate. Hardcore creator. General bacon maven. Internet aficionado. Professional food lover.,Female
9,"Speaking to a crowd of five thousand women this morning at the United State of Women summit, Vice President Joe Biden spent almost th...",BeckerHadden,BeckerHadden,Proud zombie advocate. Hardcore creator. General bacon maven. Internet aficionado. Professional food lover.,Female
10,"When you're in a relationship, it's often only a matter of time before someone wonders when you'll get engaged. But once you are, tha...",BeckerHadden,BeckerHadden,Proud zombie advocate. Hardcore creator. General bacon maven. Internet aficionado. Professional food lover.,Female
